iter	Passed	Remaining
1219	210369	1169103
1220	210545	1168952
1221	210681	1168574
1222	210862	1168450
1223	211099	1168635
1224	211320	1168733
1225	211509	1168652
1226	211719	1168686
1227	211909	1168609
1228	212112	1168602
1229	212299	1168510
1230	212485	1168410
1231	212703	1168486
1232	212923	1168576
1233	213116	1168516
1234	213326	1168546
1235	213522	1168497
1236	213711	1168415
1237	213901	1168337
1238	214109	1168355
1239	214308	1168325
1240	214487	1168186
1241	214670	1168071
1242	214852	1167945
1243	215037	1167841
1244	215219	1167717
1245	215380	1167478
1246	215534	1167204
1247	215731	1167164
1248	215927	1167117
1249	216125	1167075
1250	216438	1167662
1251	216656	1167730
1252	216843	1167631
1253	217034	1167556
1254	217242	1167571
1255	217493	1167816
1256	217683	1167734
1257	217887	1167723
1258	218090	1167710
1259	218278	1167616
1260	218514	1167778
1261	218692	1167632
1262	218890	1167587
1263	219087	1167541
1264	219279	1167470
1265	219481	1167449
1266	219667	1167342
1267	219871	1167330
1268	220078	1167333
1269	220293	1167379
1270	220510	1167438
1271	220710	1167407
1272	221103	1168393
1273	221346	1168583
1274	221539	1168512
1275	221718	1168364
1276	221897	1168217
1277	222103	1168213
1278	222334	1168344
1279	222565	1168470
1280	222754	1168376
1281	222911	1168110
1282	223108	1168058
1283	223291	1167934
1284	223481	1167843
1285	223643	1167606
1286	223876	1167739
1287	224082	1167732
1288	224267	1167615
1289	224421	1167338
1290	224559	1166980
1291	224765	1166972
1292	224926	1166729
1293	225111	1166611
1294	225349	1166773
1295	225543	1166698
1296	225729	1166589
1297	225894	1166367
1298	226071	1166209
1299	226257	1166095
1300	226445	1165991
1301	226626	1165854
1302	226805	1165709
1303	226965	1165459
1304	227144	1165312
1305	227315	1165120
1306	227529	1165155
1307	227731	1165120
1308	227953	1165194
1309	228143	1165097
1310	228330	1164990
1311	228524	1164915
1312	228714	1164823
1313	228957	1165002
1314	229155	1164948
1315	229330	1164775
1316	229484	1164499
1317	229668	1164375
1318	229861	1164292
1319	230099	1164443
1320	230308	1164446
1321	230495	1164331
1322	230690	1164261
1323	230876	1164146
1324	231048	1163961
1325	231255	1163953
1326	231406	1163659
1327	231605	1163610
1328	231815	1163610
1329	232011	1163547
1330	232401	1164450
1331	232586	1164327
1332	232782	1164263
1333	233003	1164320
1334	233202	1164264
1335	233395	1164184
1336	233592	1164119
1337	233819	1164202
1338	233999	1164053
1339	234181	1163917
1340	234368	1163805
1341	234577	1163799
1342	234769	1163709
1343	234977	1163698
1344	235184	1163680
1345	235368	1163551
1346	235616	1163741
1347	235795	1163585
1348	235971	1163412
1349	236145	1163233
1350	236379	1163352
1351	236551	1163163
1352	236742	1163063
1353	236916	1162887
1354	237104	1162773
1355	237282	1162615
1356	237462	1162461
1357	237654	1162369
1358	237866	1162375
1359	238059	1162288
1360	238269	1162288
1361	238475	1162262
1362	238647	1162072
1363	238858	1162069
1364	239046	1161956
1365	239244	1161894
1366	239420	1161721
1367	239636	1161748
1368	239849	1161752
1369	240040	1161653
1370	240238	1161591
1371	240453	1161607
1372	240687	1161714
1373	240909	1161768
1374	241121	1161768
1375	241305	1161635
1376	241487	1161489
1377	241701	1161498
1378	241877	1161326
1379	242100	1161382
1380	242286	1161257
1381	242468	1161111
1382	242666	1161044
1383	242872	1161015
1384	243080	1160992
1385	243318	1161118
1386	243524	1161086
1387	243710	1160959
1388	243883	1160773
1389	244096	1160775
1390	244526	1161810
1391	244753	1161877
1392	244957	1161835
1393	245150	1161740
1394	245330	1161581
1395	245509	1161420
1396	245715	1161386
1397	245881	1161164
1398	246076	1161078
1399	246237	1160835
1400	246422	1160700
1401	246611	1160585
1402	246780	1160377
1403	246941	1160132
1404	247146	1160091
1405	247339	1159998
1406	247544	1159956
1407	247730	1159826
1408	247955	1159882
1409	248152	1159803
1410	248352	1159740
1411	248553	1159681
1412	248788	1159782
1413	248987	1159712
1414	249195	1159683
1415	249403	1159658
1416	249603	1159589
1417	249781	1159425
1418	249987	1159384
1419	250174	1159257
1420	250363	1159144
1421	250549	1159009
1422	250718	1158803
1423	250908	1158687
1424	251117	1158666
1425	251311	1158570
1426	251506	1158482
1427	251698	1158376
1428	252009	1158818
1429	252213	1158771
1430	252416	1158717
1431	252601	1158581
1432	252795	1158483
1433	252996	1158422
1434	253198	1158359
1435	253397	1158285
1436	253617	1158311
1437	253791	1158121
1438	254003	1158106
1439	254206	1158051
1440	254379	1157857
1441	254595	1157861
1442	254778	1157712
1443	254989	1157692
1444	255191	1157632
1445	255383	1157525
1446	255560	1157351
1447	255726	1157128
1448	256149	1158066
1449	256351	1158002
1450	256541	1157886
1451	256722	1157724
1452	256893	1157522
1453	257067	1157332
1454	257278	1157309
1455	257475	1157223
1456	257649	1157036
1457	257831	1156883
1458	258008	1156704
1459	258232	1156741
1460	258438	1156694
1461	258633	1156597
1462	258825	1156489
1463	259028	1156425
1464	259215	1156296
1465	259455	1156398
1466	259641	1156263
1467	259823	1156109
1468	260001	1155933
1469	260204	1155874
1470	260399	1155779
1471	260615	1155772
1472	260827	1155752
1473	261035	1155712
1474	261251	1155706
1475	261457	1155657
1476	261650	1155550
1477	261833	1155399
1478	262039	1155347
1479	262235	1155251
1480	262414	1155086
1481	262629	1155074
1482	262809	1154906
1483	263012	1154846
1484	263196	1154696
1485	263362	1154470
1486	263575	1154451
1487	263805	1154501
1488	263988	1154351
1489	264175	1154216
1490	264370	1154116
1491	264630	1154301
1492	264831	1154226
1493	265041	1154188
